subj_orgid,session_id,block_num,probe_number,bv_std_10s,apen_10s,n_taps_10s,subject_id,fixation_count_10s,fixation_dur_mean_10s,fixation_dur_std_10s,fixation_dur_sum_10s,fixation_x_mean_10s,fixation_x_std_10s,fixation_y_mean_10s,fixation_y_std_10s,saccade_count_10s,saccade_dur_mean_10s,saccade_dur_std_10s,saccade_distance_norm_mean_10s,saccade_velocity_norm_mean_10s,blink_count_10s,blink_dur_mean_10s,blink_dur_sum_10s,pupil_std_10s,pupil_mean_10s,on_off
CLONESA_G1_sub_21,ses_1,1.0,1,0.0757586113662345,0.8302607846962635,88,sub_01_ses_1_2_cleaned_data_raw.fif,11,0.8591825311834161,0.6612437311578684,9.451007843017578,0.5020685838737855,0.0049280511895817,0.50007873210637,0.0200626824126279,9,0.0582224527994791,0.0750582334491389,0.0132922936175172,0.5199591799032234,1,0.1189994812011718,0.1189994812011718,102.60598933500678,2.285232007020506,ON
CLONESA_G1_sub_21,ses_1,1.0,2,0.0602908268275096,0.8442264325971598,75,sub_01_ses_1_2_cleaned_data_raw.fif,12,0.6411641438802084,0.7138732057672027,7.6939697265625,0.5544898026379446,0.0945172033616015,0.4672502571644648,0.0495390998650391,11,0.0692707408558238,0.0706286304291998,0.046764314026772,0.8980512980952615,2,0.1075057983398437,0.2150115966796875,263.09715810402065,2.3446134678254085,ON
CLONESA_G1_sub_21,ses_1,1.0,3,0.0497939315501854,0.9486798265286116,97,sub_01_ses_1_2_cleaned_data_raw.fif,18,0.5125011867947049,0.3257215510730703,9.225021362304688,0.5140137323865218,0.0354511361091224,0.4978241436948667,0.0142697044160698,16,0.0530023574829101,0.062655464912416,0.0241457304979851,0.7266085665138096,3,0.1126708984375,0.3380126953125,206.1428778793144,2.259975300029036,ON
CLONESA_G1_sub_21,ses_1,1.0,4,0.0553548228041651,0.9515783901885548,94,sub_01_ses_1_2_cleaned_data_raw.fif,20,0.37860107421875,0.3393897842684982,7.572021484375,0.5047494344396094,0.0073290255469273,0.4901969970022633,0.015532892696766,18,0.0560557047526041,0.0599435356812137,0.0110319723808486,0.4057560411584163,1,0.160980224609375,0.160980224609375,154.46729247175995,2.6140616596282373,OFF
CLONESA_G1_sub_21,ses_1,1.0,5,0.0533284954457154,1.020155215615119,86,sub_01_ses_1_2_cleaned_data_raw.fif,18,0.5192192925347222,0.3970234468438523,9.345947265625,0.5220431911740417,0.04088861268859,0.4955972922502635,0.0192916524755646,16,0.0403041839599609,0.0492761097547632,0.0183164577004045,0.523146635781464,1,0.126983642578125,0.126983642578125,263.28849371256285,2.18086848329347,ON
CLONESA_G1_sub_21,ses_1,1.0,6,0.0844862036201985,0.93900998788176,102,sub_01_ses_1_2_cleaned_data_raw.fif,18,0.5308922661675347,0.359743118898679,9.556060791015623,0.502754163832146,0.0212623036448275,0.5255835778998051,0.0669309959762938,15,0.0418050130208333,0.0470686752646638,0.034162347052656,1.004690122381832,1,0.1190185546875,0.1190185546875,295.86558421266164,1.693583170599844,ON
CLONESA_G1_sub_21,ses_1,1.0,7,0.0690195194126198,0.9469473690962672,94,sub_01_ses_1_2_cleaned_data_raw.fif,12,0.5790049235026041,0.451579185338622,6.94805908203125,0.5124739608364929,0.0098187537082252,0.5060998803293766,0.0151375310424309,10,0.0404052734375,0.0493384438974856,0.0134645571971846,0.7043685829072929,1,0.125,0.125,257.37865420474776,2.07964539600704,ON
CLONESA_G1_sub_21,ses_1,1.0,8,0.0655992382073594,0.8550672762162081,78,sub_01_ses_1_2_cleaned_data_raw.fif,17,0.5537073471966911,0.275565691580881,9.41302490234375,0.5089767712369874,0.0127419975579563,0.5131744553331651,0.0138866878500569,16,0.0416984558105468,0.0510769777968977,0.015691528317175,0.626123818978314,2,0.10400390625,0.2080078125,144.33606304938206,1.7917865421924462,ON
CLONESA_G1_sub_21,ses_1,1.0,9,0.0577727921577155,1.0180607054396806,94,sub_01_ses_1_2_cleaned_data_raw.fif,14,0.654144287109375,0.3358596136108093,9.15802001953125,0.5062039614335619,0.0083963073441893,0.5225073267826544,0.0059211138040089,11,0.0491000088778409,0.0701833617982964,0.0114845583336932,0.5957143659225153,2,0.12200927734375,0.2440185546875,118.84698144228676,1.6834151391843393,ON
CLONESA_G1_sub_21,ses_1,1.0,10,0.0757321641281988,0.9707158946302044,87,sub_01_ses_1_2_cleaned_data_raw.fif,17,0.4937744140625,0.3122649120661958,8.3941650390625,0.5030476237470611,0.0051206770391229,0.5107440579946662,0.0134946236277498,17,0.0507668887867647,0.0600417723375024,0.0066859999433668,0.2538456938232843,2,0.13250732421875,0.2650146484375,198.6769949167957,1.968422817855331,ON
CLONESA_G1_sub_21,ses_1,1.0,11,0.0493876382074488,0.9200009878331894,95,sub_01_ses_1_2_cleaned_data_raw.fif,16,0.5858116149902344,0.3518094915106402,9.37298583984375,0.5173797329496599,0.0140744835530877,0.5080125366256836,0.0123182989107977,16,0.0375633239746093,0.03877465669045,0.0203492817430173,0.8348495524016993,1,0.09796142578125,0.09796142578125,182.24904974621177,1.6414395051257604,ON
CLONESA_G1_sub_21,ses_1,1.0,12,0.07149199291011,0.8977490178546064,80,sub_01_ses_1_2_cleaned_data_raw.fif,17,0.5590030445772058,0.3122726416270037,9.5030517578125,0.5037175425800821,0.0054760335968884,0.5119769854826661,0.0130695224945304,14,0.0389229910714285,0.0445352806589673,0.0092207164199871,0.4643630105854809,2,0.082000732421875,0.16400146484375,228.3290202746,1.763571479906436,ON
